"Julian Day","Chamber Number","Measurement Duration (s)","        Mean CO2 (ppm)","        Mean CH4 (ppm)","        Mean N2O (ppm)","        Mean NH3 (ppm)","        Mean H2O (ppm)","     Chem Detect (0/1)","   Cav. Pressure (kPa)","Cav. Temperature (K)","   Water Content (fraction)","Chamber Temperature (K)","Chamber Pressure (kPa)","    Flux CO2 (L) (umol/m^2/s)","    Flux CO2 (E) (umol/m^2/s)","    Flux CH4 (L) (nmol/m^2/s)","    Flux CH4 (E) (nmol/m^2/s)","    Flux N2O (L) (nmol/m^2/s)","    Flux N2O (E) (nmol/m^2/s)","    Flux NH3 (L) (umol/m^2/s)","    Flux NH3 (E) (umol/m^2/s)","  e_Flux CO2 (L) (umol/m^2/s)","  e_Flux CO2 (E) (umol/m^2/s)","  e_Flux CH4 (L) (nmol/m^2/s)","  e_Flux CH4 (E) (nmol/m^2/s)","  e_Flux N2O (L) (nmol/m^2/s)","  e_Flux N2O (E) (nmol/m^2/s)","  e_Flux NH3 (L) (umol/m^2/s)","  e_Flux NH3 (E) (umol/m^2/s)","Metadata"
40.692590,1,289,1239.55560127,5.63112613,0.72835335,5.25996240,1.65160392,0.00000000,18.66526211,318.15699986,0.00578757,295.73530861,97.68000000,67.62686219,68.08256202,240.59593625,362.25252882,36.06674048,36.26146995,0.08646007,0.43103121,0.45598533,0.12924670,2.79171802,364.33214953,0.27190466,1064.78879384,0.00426075,0.31853163,"Measurement #0001  from Forerunner Autochamber # 1"
40.696648,2,289,1877.62852459,12.13160162,0.91525317,5.22329702,1.70871170,0.00000000,18.66511897,318.09080933,0.00728208,295.47882629,101.50000000,100.96460070,102.27540805,773.76860518,782.75753807,42.62951550,42.97808242,0.09455172,0.25014810,0.37203629,6.66009439,2.30045067,1599.62697727,0.15116628,1614.03172267,0.00184356,1.17928410,"Measurement #0002  from Forerunner Autochamber # 2"
40.700758,3,294,3204.02550180,32.76440341,2.23628147,4.11565684,1.57328317,1.00000000,18.66527935,318.12873653,0.00758072,295.85106341,97.62000000,392.03529095,406.82849754,4549.74957765,4619.74109715,267.27404995,279.71952439,0.17786321,0.27538807,5.42551666,10.90612144,64.78346686,7944.42529195,3.78741830,7878.23574192,0.00598058,1.74511449,"Measurement #0003  from Forerunner Autochamber # 3"
40.704755,4,290,1048.03452139,24.36283007,0.44278963,333.44860381,1.26325855,1.00000000,18.66515093,318.14817290,0.00707142,295.94329938,98.21000000,99.89197507,100.00541260,4389.61994510,4393.55866706,16.57724233,16.57221916,123.49670915,123.35425773,1.41156703,1.10786794,52.73405899,407.04727354,0.51991639,1313.12270252,5.46033949,1.85156357,"Measurement #0004  from Forerunner Autochamber # 4"
40.708795,5,287,1261.47906215,31.48264457,0.41408565,1286.29283900,1.58622297,1.00000000,18.66543006,318.14957385,0.00937393,294.71799798,98.77000000,142.61197929,142.83698532,5637.15649609,5644.07010500,5.44397014,34.15339940,-6.13387131,-6.13136463,0.58294587,1.01804505,25.38490944,1637.71260098,0.52581794,1016.88615912,1.37086675,3.72681973,"Measurement #0005  from Forerunner Autochamber # 5"
40.741085,1,286,2465.64854779,14.06997869,1.92328267,82.83616730,1.62804917,0.00000000,18.66657237,318.14975930,0.00998535,289.43107455,97.70000000,138.60648957,244.61825074,805.76782191,1700.35386536,108.35345879,207.50199614,-0.07480216,-0.07468490,0.50871043,0.41278781,3.75458474,367.84409757,0.45424768,397.92048652,0.01068885,2.00133068,"Measurement #0006  from Forerunner Autochamber # 1"
40.745138,2,289,4774.63226687,7.78335429,7.05014559,83.96935452,1.51576613,0.00000000,18.66551621,318.15040179,0.01512235,289.90171842,99.87000000,355.47145621,454.83330798,404.50316696,716.90702086,578.44354153,698.27757546,0.39809278,0.39658046,0.59912639,0.73896814,1.13842028,361.49261054,0.92699351,1030.86667082,0.00818816,1.25683664,"Measurement #0007  from Forerunner Autochamber # 2"
40.749235,3,294,3247.82760087,32.76827554,1.67819988,81.24198056,1.88953146,1.00000000,18.66548819,318.14975678,0.01724821,290.07595766,97.42000000,580.04321254,580.98921533,7116.43380770,7133.52646641,248.42200130,248.56976035,1.10951667,1.56607990,8.96545442,0.93797615,103.97772659,528.87565819,3.96682036,821.28445353,0.01280441,0.31078827,"Measurement #0008  from Forerunner Autochamber # 3"
40.753253,4,285,1086.41501971,25.82354565,0.38883844,3499.32769702,1.71131581,1.00000000,18.66542386,318.14874332,0.01637876,290.10488040,96.47000000,91.83548093,91.92399357,5077.09980927,5085.44366519,16.41738353,16.45939150,54.54661273,54.45236803,0.48194025,1.69637462,28.35496508,1465.12924745,0.12240197,2752.66181890,0.60291486,0.90462158,"Measurement #0009  from Forerunner Autochamber # 4"
40.757303,5,284,1222.10367683,34.19957639,0.34662842,1030.44879671,1.75255741,1.00000000,18.66522100,318.14843101,0.01587617,290.10488040,96.91000000,130.70304474,130.91524541,6859.05214742,6872.63895201,1.59556821,2.46517788,-41.68863795,-74.60548718,1.03962719,1.09619700,45.87649091,1650.63471876,0.10520486,15049.50799360,0.30017997,0.07932855,"Measurement #0010  from Forerunner Autochamber # 5"
40.789556,1,288,2242.61237430,13.65334744,1.56304591,111.02711550,1.57318623,0.00000000,18.66651502,318.14958973,0.01481450,287.86876230,97.69000000,138.20094676,139.21879195,906.56840212,972.47277606,89.86478099,90.55237087,-1.97339718,-6.03873871,0.37651142,0.96030326,2.27769899,4486.88907846,0.24830782,1418.50680141,0.01529042,0.14505576,"Measurement #0011  from Forerunner Autochamber # 1"
40.793611,2,287,5095.71227824,9.54394045,5.82254843,110.53479105,1.61084788,0.00000000,18.66567208,318.15014272,0.01456937,288.33854264,98.61000000,351.67191903,469.38706854,564.84688583,807.13190323,411.15929844,510.64826005,-0.49650620,-0.49694603,0.37538839,1.02871130,0.54608642,662.70161116,0.44835778,1517.65917704,0.00079108,0.64563236,"Measurement #0012  from Forerunner Autochamber # 2"
40.797663,3,283,3792.49829979,37.03062644,1.73449518,111.99763570,1.86570088,1.00000000,18.66527638,318.15000042,0.01702508,288.76912658,97.58000000,554.56198954,556.22895844,6692.44908605,6715.65087925,206.04938967,206.32322013,0.18596373,0.71971549,2.45186286,1.46839294,52.86542424,1189.67111015,2.21403309,1177.52628438,0.01614695,1.76122137,"Measurement #0013  from Forerunner Autochamber # 3"
40.801720,4,283,1002.86574476,28.95554877,0.38575993,2747.05538054,1.21563715,1.00000000,18.66523924,318.14929049,0.01264246,288.18293612,96.40000000,72.46231914,72.69044676,4550.29208196,4562.96041264,14.36962303,23.65872083,85.60824377,85.54735330,0.39073373,1.64608906,31.04477115,312.92626859,0.21427944,909.03395245,3.56573274,0.71592481,"Measurement #0014  from Forerunner Autochamber # 4"
40.805761,5,287,1088.62041656,29.31879327,0.34951037,944.35108698,1.63170969,1.00000000,18.66509243,318.14904130,0.01519027,288.55476659,96.70000000,118.26137139,118.26451752,6388.22347833,6386.09877278,1.42531683,1.42246307,-35.74865322,-68.65348700,2.78052927,0.74050192,138.40341575,814.65631562,0.16744170,3750.47475397,0.42405173,0.09766073,"Measurement #0015  from Forerunner Autochamber # 5"
40.838058,1,289,2211.45656681,18.10989879,1.22339316,102.20695903,1.09723270,0.00000000,18.66650714,318.15020730,0.01062355,287.93191665,97.70000000,139.72288654,140.49091908,1329.88896209,1346.97015583,66.42580094,66.73119073,-1.45980536,-10.95476575,1.15149263,0.97026791,9.88393500,2464.74778507,0.61090919,1453.24944422,0.03127405,0.05405150,"Measurement #0016  from Forerunner Autochamber # 1"
